country,Med. Age,Urban Pop
China,38,"0,61"
Índia,28,"0,35"
Estados Unidos,38,"0,83"
Indonésia,30,"0,56"
Paquistão,23,"0,35"
Brasil,33,"0,88"
Nigéria,18,"0,52"
Bangladesh,28,"0,39"
Rússia,40,"0,74"
México,29,"0,84"
Japão,48,"0,92"
Etiópia,19,"0,21"
Filipinas,26,"0,47"
Egito,25,"0,43"
Vietnã,32,"0,38"
Congo,17,"0,46"
Turquia,32,"0,76"
Irã,32,"0,76"
Alemanha,46,"0,76"
Tailândia,40,"0,51"
Reino Unido,40,"0,83"
França,42,"0,82"
Itália,47,"0,69"
Tanzânia,18,"0,37"
África do Sul,28,"0,67"
Mianmar,29,"0,31"
Quênia,20,"0,28"
Coreia do Sul,44,"0,82"
Colômbia,31,"0,8"
Espanha,45,"0,8"
Uganda,17,"0,26"
Argentina,32,"0,93"
Argélia,29,"0,73"
Sudão,20,"0,35"
Ucrânia,41,"0,69"
Iraque,21,"0,73"
Afeganistão,18,"0,25"
Polônia,42,"0,6"
Canadá,41,"0,81"
Marrocos,30,"0,64"
Arábia Saudita,32,"0,84"
Uzbequistão,28,"0,5"
Peru,31,"0,79"
Angola,17,"0,67"
Malásia,30,"0,78"
Moçambique,18,"0,38"
Gana,22,"0,57"
Iémen,20,"0,38"
Nepal,25,"0,21"
Venezuela,30,
Madagáscar,20,"0,39"
Camarões,19,"0,56"
Costa do Marfim,19,"0,51"
Coréia do Norte,35,"0,63"
Austrália,38,"0,86"
Níger,15,"0,17"
Taiwan,42,"0,79"
Sri Lanka,34,"0,18"
Burkina Faso,18,"0,31"
Mali,16,"0,44"
Romênia,43,"0,55"
Maláui,18,"0,18"
Chile,35,"0,85"
Cazaquistão,31,"0,58"
Zâmbia,18,"0,45"
Guatemala,23,"0,52"
Equador,28,"0,63"
Síria,26,"0,6"
Holanda,43,"0,92"
Senegal,19,"0,49"
Camboja,26,"0,24"
Chade,17,"0,23"
Somália,17,"0,47"
Zimbábue,19,"0,38"
Guiné,18,"0,39"
Ruanda,20,"0,18"
Benim,19,"0,48"
Burundi,17,"0,14"
Tunísia,33,"0,7"
Bolívia,26,"0,69"
Bélgica,42,"0,98"
Haiti,24,"0,57"
Cuba,42,"0,78"
Sudão do Sul,19,"0,25"
República Dominicana,28,"0,85"
República Checa (Tcheca),43,"0,74"
Grécia,46,"0,85"
Jordânia,24,"0,91"
Portugal,46,"0,66"
Azerbaijão,32,"0,56"
Suécia,41,"0,88"
Honduras,24,"0,57"
Emirados Árabes Unidos,33,"0,86"
Hungria,43,"0,72"
Tadjiquistão,22,"0,27"
Bielorrússia,40,"0,79"
Áustria,43,"0,57"
Papua Nova Guiné,22,"0,13"
Sérvia,42,"0,56"
Israel,30,"0,93"
Suíça,43,"0,74"
Togo,19,"0,43"
Serra Leoa,19,"0,43"
Hong Kong,45,
Laos,24,"0,36"
Paraguai,26,"0,62"
Bulgária,45,"0,76"
Líbia,29,"0,78"
Líbano,30,"0,78"
Nicarágua,26,"0,57"
Quirguistão,26,"0,36"
El Salvador,28,"0,73"
Turcomenistão,27,"0,53"
Cingapura,42,
Dinamarca,42,"0,88"
Finlândia,43,"0,86"
Congo,19,"0,7"
Eslováquia,41,"0,54"
Noruega,40,"0,83"
Omã,31,"0,87"
Estado da Palestina,21,"0,8"
Costa Rica,33,"0,8"
Libéria,19,"0,53"
Irlanda,38,"0,63"
República Centro-Africana,18,"0,43"
Nova Zelândia,38,"0,87"
Mauritânia,20,"0,57"
Panamá,30,"0,68"
Kuwait,37,
Croácia,44,"0,58"
Moldávia,38,"0,43"
Geórgia,38,"0,58"
Eritreia,19,"0,63"
Uruguai,36,"0,96"
Bósnia e Herzegovina,43,"0,52"
Mongólia,28,"0,67"
Armênia,35,"0,63"
Jamaica,31,"0,55"
Catar,32,"0,96"
Albânia,36,"0,63"
Porto Rico,44,
Lituânia,45,"0,71"
Namíbia,22,"0,55"
Gâmbia,18,"0,59"
Botsuana,24,"0,73"
Gabão,23,"0,87"
Lesoto,24,"0,31"
Macedônia do Norte,39,"0,59"
Eslovênia,45,"0,55"
Guiné-Bissau,19,"0,45"
Letônia,44,"0,69"
Bahrein,32,"0,89"
Guiné Equatorial,22,"0,73"
Trinidad e Tobago,36,"0,52"
Estônia,42,"0,68"
Timor-Leste,21,"0,33"
Maurício,37,"0,41"
Chipre,37,"0,67"
Essuatíni,21,"0,3"
Djibuti,27,"0,79"
Fiji,28,"0,59"
Reunião,36,1
Comores,20,"0,29"
Guiana,27,"0,27"
Butão,28,"0,46"
